Class,GT,TP,FP,FN,Precision,Recall,F1-score
class0,87139,76363,16213,10776,0.8248682163843761,0.8763355099324068,0.8498233313858052
class1,14652,11396,6799,3256,0.6263259137125584,0.7777777777777778,0.6938837641184887
class2,5529,4472,2732,1057,0.6207662409772349,0.8088261891843009,0.7024267650985628
class3,17824,16140,3958,1684,0.803064981590208,0.9055206463195691,0.8512209271662887
other,174635,161844,24863,12791,0.8668341304825208,0.9267558049646405,0.8957940123207376
Macro Avg,299779,270215,54565,29564,0.7483718966293796,0.8590431856357391,0.7986297600179767
Micro Avg,,,,,0.8319939651456371,0.9013806837703775,0.8652985546601683
Weighted Avg,,,,,,,0.8663462314477188
