Class,GT,TP,FP,FN,Precision,Recall,F1-score
class0,29263,22427,14697,6836,0.604110548432281,0.766394422991491,0.6756443279557743
class1,15088,10682,11152,4406,0.4892369698635156,0.7079798515376459,0.5786252099019555
class2,10894,5494,8226,5400,0.40043731778425656,0.5043143014503396,0.4464126107093524
class3,33771,28479,7994,5292,0.7808241713048009,0.8432975037754287,0.8108592904732076
other,148503,131832,44008,16671,0.749727024567789,0.8877396416234016,0.8129171895185037
Macro Avg,237519,198914,86077,38605,0.6048672063905286,0.7419451442756614,0.6648917257117587
Micro Avg,,,,,0.6979659006775653,0.8374656343282011,0.761378729593692
Weighted Avg,,,,,,,0.7640191589332864
