Class,GT,TP,FP,FN,Precision,Recall,F1-score
Tumor,125144,116272,25479,8872,0.8202552362946293,0.9291056702678514,0.8712939545514153
Non_Tumor,174635,161794,27157,12841,0.8562749072510862,0.9264694935150457,0.8899902636515157
Macro Avg,299779,278066,52636,21713,0.8382650717728577,0.9277875818914485,0.8806421091014656
Micro Avg,,,,,0.8408355558781018,0.9275699765493914,0.8820757485158157
Weighted Avg,,,,,,,0.8821854110566943
