Class,GT,TP,FP,FN,Precision,Recall,F1-score
Tumor,89016,76152,23356,12864,0.7652852031997427,0.855486654084659,0.8078759203072288
Non_Tumor,148503,135146,49558,13357,0.7316896223146223,0.9100556891106577,0.8111834385232003
Macro Avg,237519,211298,72914,26221,0.7484874127571826,0.8827711715976583,0.8095296794152145
Micro Avg,,,,,0.7434520709892616,0.8896046211039959,0.8099882889841701
Weighted Avg,,,,,,,0.8099438659352687
