Class,GT,TP,FP,FN,Precision,Recall,F1-score
class0,36821,32000,7849,4821,0.8030314436999674,0.8690692811167541,0.8347463153775924
class1,17140,14094,5536,3046,0.7179826795720835,0.8222870478413069,0.7666032091378843
class2,16460,11909,4839,4551,0.7110699785048961,0.7235115431348724,0.7172368104071308
class3,69595,64991,8250,4604,0.887358173700523,0.933845822257346,0.91000868128483
other,211873,198765,55431,13108,0.781935986404192,0.9381327493356869,0.8529423754851749
Macro Avg,351889,321759,81905,30130,0.7802756523763323,0.8573692887371933,0.8163074783385225
Micro Avg,,,,,0.7970960997265052,0.9143764084697164,0.851717880810479
Weighted Avg,,,,,,,0.8517714537187331
